"","country","Female","age_18_30","age_30_45","age_45_60","age_60","Less_than_secondary","More_than_secondary"
"1","All",48.9497716894968,34.3980059127005,43.5395049562335,16.8801808590807,5.05477943307632,77.4820192243083,22.5179807756943
"2","Burkina Faso",27.942681678608,37.5,50,9.16666666666667,3.33333333333333,61.1054247697031,38.8945752302968
"3","Burkina Faso (WGM)",48.4579383727591,40.3009274347815,35.0181243113413,14.8169919905253,9.86395626335185,99.4963881358461,0.503611864154049
"4","Colombia",63.6363636363638,32.1739130434783,34.9275362318841,25.3623188405797,7.53623188405797,65.8753709198814,34.1246290801187
"5","Colombia (WGM)",51.8937010191164,29.4038519347024,29.518476011065,23.4953360262686,17.5823360279639,93.6818272892976,6.31817271070244
"6","India",19.7619047619048,19.8809523809524,45.7142857142856,29.2857142857143,5.11904761904762,82.3529411764705,17.6470588235294
"7","India (WGM)",49.3259818934084,33.1708572444819,33.2141872022167,21.1059995880823,12.5089559652193,95.2638330740792,4.7361669259209
"8","Mozambique",42.92343387471,7.79069767441861,42.9069767441861,34.3023255813954,15,81.7632850241549,18.2367149758454
"9","Mozambique (WGM)",51.7567514735899,41.6534381263727,34.1392861434228,13.6976981152332,10.5095776149714,100,0
"10","Nepal",42.749244712991,28.9274924471299,39.6525679758309,21.9033232628399,7.93051359516616,NA,NA
"11","Nepal (WGM)",51.4737862664982,36.7690816474511,29.5384461110179,18.6307562764246,15.0617159651065,95.0032904228337,4.99670957716642
"12","Nigeria",37.0985010706637,33.7259100642398,51.2847965738759,11.9914346895075,2.99785867237688,NA,NA
"13","Nigeria (WGM)",48.2580752707877,43.2775031818444,32.2672458916808,13.4911590305568,10.9640918959181,98.3743731563914,1.62562684360866
"14","Pakistan 1",49.8465316144874,14.6356399265156,68.4017146356403,16.4115125535824,0.551132884262095,77.6064157927204,22.3935842072794
"15","Pakistan 2",NA,NA,NA,NA,NA,67.895442359249,32.1045576407507
"16","Pakistan (WGM)",48.4487021936237,41.2177111959396,31.4705563295958,17.7498618273039,9.56187064716078,93.4063405761732,6.59365942382676
"17","Rwanda",36.0885608856089,55.6457564575645,34.6863468634686,7.97047970479705,1.69741697416974,82.6568265682653,17.3431734317343
"18","Rwanda (WGM)",53.7072840338209,43.2447095518949,31.6388118403601,16.1629752756577,8.95350333208733,99.9621068669457,0.0378931330542677
"19","Sierra Leone 1",33.5514018691589,44.2990654205607,42.2429906542056,10.9345794392523,2.52336448598131,60.9826589595376,39.0173410404624
"20","Sierra Leone 2",25.6872037914692,13.7997125059894,39.6741734547198,33.6367992333494,12.841399137518,87.3459715639817,12.654028436019
"21","Sierra Leone (WGM)",51.9166335937669,43.913944974402,31.5404196583265,14.785723531962,9.75991183530958,97.133802995046,2.86619700495396
"22","USA (WGM)",49.8481137139105,19.9113631622045,23.2816760102788,25.7991260717574,31.0078347557593,65.6175798337486,34.3824201662514
"23","Uganda (WGM)",52.4247530498624,47.2042474505816,32.0156306925676,13.2541270271868,7.52599482966405,98.9796698547134,1.02033014528668
"24","USA",51.4037774374682,23.1750893312915,28.3818274629914,21.2863705972435,27.1567126084738,21.0821847881572,78.9178152118429
"25","Russia",64.515254237287,22.6259887005647,56.5016949152533,19.7333333333331,1.13898305084746,6.96045197740113,93.0395480225972
"26","Russia (WGM)",56.0045373715706,20.3792999406432,27.8670777771738,27.5304733496137,24.2231489325691,73.1671820292075,26.8328179707924
"27","Uganda 1",100,61.819887429644,38.1801125703565,0,0,90.2519167579397,9.74808324205915
"28","Uganda 2",49.0483162518301,38.1405563689605,36.7496339677891,16.8374816983894,8.27232796486091,70.8638360175695,29.1361639824304
